Original file:
C:\Users\Kryolabor\Desktop\Melissa_Marc\Stahl_folie.txt
Date / time: 23.11.2022, 15:36:22
Sample: Edelstahlfolie
Comments: 22mV Antriebsspannung, 25µm Edelstahlfolie
Channel #	Counts	Counts (folded)
    869	  20290	      0
    870	  20374	      0
    871	  20288	      0
    872	  20367	      0
    873	  20177	      0
    874	  20344	      0
    875	  20488	      0
    876	  20192	      0
    877	  20579	      0
    878	  20514	      0
    879	  20293	      0
    880	  20433	      0
    881	  20183	      0
    882	  20504	      0
    883	  20490	      0
    884	  20438	      0
    885	  20334	      0
    886	  20304	      0
    887	  20553	      0
    888	  20315	      0
    889	  20493	      0
    890	  20413	      0
    891	  20292	      0
    892	  20317	      0
    893	  20236	      0
    894	  20300	      0
    895	  20440	      0
    896	  20633	      0
    897	  20511	      0
    898	  20245	      0
    899	  20271	      0
    900	  20547	      0
    901	  20488	      0
    902	  20278	      0
    903	  20353	      0
    904	  20601	      0
    905	  20528	      0
    906	  20488	      0
    907	  20267	      0
    908	  20509	      0
    909	  20460	      0
    910	  20596	      0
    911	  20576	      0
    912	  20656	      0
    913	  20506	      0
    914	  20722	      0
    915	  20497	      0
    916	  20259	      0
    917	  20417	      0
    918	  20445	      0
    919	  20328	      0
    920	  20361	      0
    921	  20470	      0
    922	  20786	      0
    923	  20611	      0
    924	  20535	      0
    925	  20618	      0
    926	  20453	      0
    927	  20692	      0
    928	  20633	      0
    929	  20567	      0
    930	  20580	      0
    931	  20313	      0
    932	  20405	      0
    933	  20469	      0
    934	  20650	      0
    935	  20581	      0
    936	  20534	      0
    937	  20641	      0
    938	  20264	      0
    939	  20416	      0
    940	  20174	      0
    941	  20456	      0
    942	  20639	      0
    943	  20604	      0
    944	  20844	      0
    945	  20350	      0
    946	  20252	      0
    947	  20378	      0
    948	  20465	      0
    949	  20507	      0
    950	  20544	      0
    951	  20790	      0
    952	  20443	      0
    953	  20502	      0
    954	  20673	      0
    955	  20586	      0
    956	  20780	      0
    957	  20461	      0
    958	  20346	      0
    959	  20313	      0
    960	  20268	      0
    961	  20540	      0
    962	  20649	      0
    963	  20519	      0
    964	  20294	      0
    965	  20576	      0
    966	  20574	      0
    967	  20303	      0
    968	  20522	      0
    969	  20415	      0
    970	  20685	      0
    971	  20439	      0
    972	  20533	      0
    973	  20520	      0
    974	  20248	      0
    975	  20446	      0
    976	  20340	      0
    977	  20337	      0
    978	  20517	      0
    979	  20510	      0
    980	  20488	      0
    981	  20506	      0
    982	  20602	      0
    983	  20329	      0
    984	  20514	      0
    985	  20574	      0
    986	  20553	      0
    987	  20580	      0
    988	  20515	      0
    989	  20658	      0
    990	  20564	      0
    991	  20357	      0
    992	  20391	      0
    993	  20555	      0
    994	  20521	      0
    995	  20510	      0
    996	  20522	      0
    997	  20575	      0
    998	  20809	      0
    999	  20394	      0
   1000	  20512	      0
   1001	  20608	      0
   1002	  20477	      0
   1003	  20649	      0
   1004	  20255	      0
   1005	  20582	      0
   1006	  20569	      0
   1007	  20364	      0
   1008	  20600	      0
   1009	  20347	      0
   1010	  20597	      0
   1011	  20361	      0
   1012	  20494	      0
   1013	  20299	      0
   1014	  20455	      0
   1015	  20483	      0
   1016	  20409	      0
   1017	  20402	      0
   1018	  20556	      0
   1019	  20685	      0
   1020	  20396	      0
   1021	  20485	      0
   1022	  20684	      0
   1023	  20551	      0
